,n_total,n_nohtn,n_htn,proportion_total,proportion_nohtn,proportion_htn,p_value
ARREMS_Unknown,23.03689289770998,8.414415179990057,14.622477717720061,0.030321851123466064,0.04584760497090186,0.025376751564866552,0.0
RACERETH_Non-Hispanic Black,173.55346664767845,41.759700767450646,131.79376588022095,0.2284362913444574,0.22753598717616486,0.22872304674382007,0.0
RACERETH_Non-Hispanic White,461.4241597912567,109.16111728030899,352.26304251095667,0.6073403535835218,0.5947859329726833,0.6113390553812647,0.0
RACERETH_Non-Hispanic Other,24.239013831639852,6.272656639470016,17.966357192169923,0.03190411884302676,0.03417781005249445,0.031179926671308197,0.0
RACERETH_Hispanic,100.52895718344871,26.336617786089796,74.19233939735976,0.1323192362289812,0.14350026979863142,0.1287579712035711,0.0
REGION_Northeast,125.78827120472839,32.08534231978996,93.70292888493064,0.1655663048608043,0.17482333217073656,0.16261785404067633,0.0
REGION_Midwest,167.3010437573245,38.93236754686,128.36867621045732,0.22020666433338118,0.21213070304815956,0.22277893444528313,0.0
REGION_South,298.16875182830006,71.41051688349086,226.75823494481483,0.39245867673006163,0.3890943219236391,0.3935302555810242,0.0
REGION_West,168.48753066367289,41.101865723179216,127.38566494049816,0.22176835407574286,0.22395164285744204,0.22107295593296933,0.0
IMMEDR_Semi-urgent,142.6389233669315,30.137976002289953,112.50094736463893,0.18774563991542118,0.1642127217184858,0.1952410971107097,0.0
IMMEDR_Urgent,274.1600370105339,57.06884624655012,217.09119076399097,0.3608576843739082,0.310950893542676,0.37675346964370865,0.0
IMMEDR_Nonurgent,20.46138969951987,4.590905299719999,15.870484399799984,0.026931896371742824,0.025014455329102393,0.02754261949325849,0.0
IMMEDR_Emergent,80.22678162069028,17.74953551109991,62.47724610959021,0.10559690229142024,0.0967118540175082,0.1084268742676055,0.0
IMMEDR_Immediate,8.841727630330006,2.9927718948800033,5.848955735450002,0.011637747767093776,0.016306709458640947,0.01015063927452911,0.0
IMMEDR_Unknown,233.4167381260145,70.99005751877954,162.4266806072329,0.3072301292803961,0.38680336593356107,0.28188530021014513,0.0
CHEST_PAIN_VISIT,63.83318484201981,12.975757642939989,50.857427199079986,0.08401915727571146,0.0707009813381203,0.08826112237431193,0.0
DYSPNEA_VISIT,64.50477571239036,14.740127316759974,49.76464839563031,0.08490312537321817,0.08031449839160533,0.08636464650026161,0.0
ABDOMINAL_PAIN_VISIT,102.31959241135803,25.939326976369955,76.3802654349895,0.1346761241581905,0.14133555226176434,0.1325550332727407,0.0
ATTPHYS_Yes,640.1069316541272,151.3686620341822,488.7382696198877,0.8425279906842174,0.8247620866653428,0.848186599276314,0.0
ATTPHYS_No,119.63866579993984,32.1614304391399,87.47723536079761,0.15747200931582664,0.1752379133346457,0.15181340072361182,0.0
RESINT_Yes,76.61284209580126,21.481295222889838,55.131546872910256,0.10084012642197182,0.11704508472370605,0.09567869381570038,0.0
RESINT_No,683.1327553582387,162.04879725043153,521.0839581078046,0.8991598735780367,0.8829549152762786,0.9043213061842768,0.0
MIDLEVEL,194.81798140486697,42.89320088808996,151.92478051677492,0.25642528506610257,0.2337120867212793,0.26365965372947775,0.0
XRAY,289.71154101729536,62.82642340674027,226.8851176105607,0.3813270415625194,0.3423221912007263,0.3937504556010673,0.0
CATSCAN,178.94430002083166,37.58825919341989,141.35604082740986,0.23553186832603956,0.20480706290105138,0.2453180096778854,0.0
MRI,9.23904520193002,1.8244113007600005,7.414633901170018,0.012160709101692433,0.009940665730472378,0.0128678139291271,0.0
CBC,371.4586101844591,84.78646040635893,286.6721497781,0.48892499203581535,0.46197579516112597,0.4975085663265656,0.0
TROPONIN,55.66107404613001,11.461065825190007,44.20000822093946,0.07326277932067601,0.062447883454621225,0.07670742602182799,0.0
